2023/12/20_19:22:47
2023/12/20_19:23:20,I
2023/12/20_19:23:58,Space
2023/12/20_19:24:35,K
2023/12/20_19:25:12,J
2023/12/20_19:25:50,DelWord
2023/12/20_19:26:27,V
2023/12/20_19:27:04,DelChar
2023/12/20_19:27:42,K
2023/12/20_19:28:19,DelChar
2023/12/20_19:28:56,W
2023/12/20_19:29:33,S
2023/12/20_19:30:11,DelChar
2023/12/20_19:30:48,A
2023/12/20_19:31:25,N
2023/12/20_19:32:03,B
2023/12/20_19:32:40,DelChar
2023/12/20_19:33:17,T
2023/12/20_19:33:55,Space
2023/12/20_19:34:32,T
2023/12/20_19:35:09,O
2023/12/20_19:35:46,K
2023/12/20_19:36:24,DelChar
2023/12/20_19:37:01,W
2023/12/20_19:37:38,DelChar
2023/12/20_19:38:16,Space
2023/12/20_19:38:53,B
2023/12/20_19:39:30,U
2023/12/20_19:40:08,G
2023/12/20_19:40:45,DelChar
2023/12/20_19:41:22,M
2023/12/20_19:41:59,DelChar
2023/12/20_19:42:37,Y
2023/12/20_19:43:14,Space
2023/12/20_19:43:51,A
2023/12/20_19:44:29,Space
2023/12/20_19:45:06,B
2023/12/20_19:45:43,DelChar
2023/12/20_19:46:21,N
2023/12/20_19:46:58,E
2023/12/20_19:47:35,W
2023/12/20_19:48:12,Space
2023/12/20_19:48:50,P
2023/12/20_19:49:27,H
2023/12/20_19:50:04,O
2023/12/20_19:50:42,N
2023/12/20_19:51:19,E
